"X1","X2","X3","X4"
"EMR","http://www.google.com/finance?q=EMR","Emerson Electric Co.","0.214498"
"YHOO","http://www.google.com/finance?q=YHOO","Yahoo! Inc.","0.206773"
"DAL","http://www.google.com/finance?q=DAL","Delta Air Lines Inc.","0.205004"
"BAX","http://www.google.com/finance?q=BAX","Baxter International Inc.","0.204401"
"YUM","http://www.google.com/finance?q=YUM","YUM! Brands Inc.","0.203039"
"AET","http://www.google.com/finance?q=AET","Aetna Inc.","0.201013"
"AAL","http://www.google.com/finance?q=AAL","American Airlines Group Inc.","0.196809"
"PRU","http://www.google.com/finance?q=PRU","Prudential Financial Inc.","0.196697"
"CSX","http://www.google.com/finance?q=CSX","CSX Corporation","0.196568"
"ADBE","http://www.google.com/finance?q=ADBE","Adobe Systems Incorporated","0.193819"
"CTSH","http://www.google.com/finance?q=CTSH","Cognizant Technology Solutions Corporation Class A","0.193708"
"PX","http://www.google.com/finance?q=PX","Praxair Inc.","0.192227"
"ALXN","http://www.google.com/finance?q=ALXN","Alexion Pharmaceuticals Inc.","0.189084"
"ACE","http://www.google.com/finance?q=ACE","ACE Limited","0.189071"
"REGN","http://www.google.com/finance?q=REGN","Regeneron Pharmaceuticals Inc.","0.187465"
"WMB","http://www.google.com/finance?q=WMB","Williams Companies Inc.","0.186574"
"SCHW","http://www.google.com/finance?q=SCHW","Charles Schwab Corporation","0.185858"
"KR","http://www.google.com/finance?q=KR","Kroger Co.","0.185163"
"NFLX","http://www.google.com/finance?q=NFLX","Netflix Inc.","0.183413"
"JCI","http://www.google.com/finance?q=JCI","Johnson Controls Inc.","0.183218"
"CI","http://www.google.com/finance?q=CI","Cigna Corporation","0.182277"
"GIS","http://www.google.com/finance?q=GIS","General Mills Inc.","0.181059"
"RTN","http://www.google.com/finance?q=RTN","Raytheon Company","0.177869"
"TRV","http://www.google.com/finance?q=TRV","Travelers Companies Inc.","0.177858"
"ITW","http://www.google.com/finance?q=ITW","Illinois Tool Works Inc.","0.177516"
"ETN","http://www.google.com/finance?q=ETN","Eaton Corp. Plc","0.175728"
"STT","http://www.google.com/finance?q=STT","State Street Corporation","0.171987"
"NSC","http://www.google.com/finance?q=NSC","Norfolk Southern Corporation","0.171948"
"NOC","http://www.google.com/finance?q=NOC","Northrop Grumman Corporation","0.170108"
"MU","http://www.google.com/finance?q=MU","Micron Technology Inc.","0.167896"
"ADM","http://www.google.com/finance?q=ADM","Archer-Daniels-Midland Company","0.167197"
"ECL","http://www.google.com/finance?q=ECL","Ecolab Inc.","0.166487"
"VRTX","http://www.google.com/finance?q=VRTX","Vertex Pharmaceuticals Incorporated","0.165779"
"VLO","http://www.google.com/finance?q=VLO","Valero Energy Corporation","0.165773"
"AVGO","http://www.google.com/finance?q=AVGO","Avago Technologies Limited","0.164975"
"MMC","http://www.google.com/finance?q=MMC","Marsh & McLennan Companies Inc.","0.163909"
"PPG","http://www.google.com/finance?q=PPG","PPG Industries Inc.","0.162147"
"DE","http://www.google.com/finance?q=DE","Deere & Company","0.161776"
"CAH","http://www.google.com/finance?q=CAH","Cardinal Health Inc.","0.158888"
"BHI","http://www.google.com/finance?q=BHI","Baker Hughes Incorporated","0.158853"
"BDX","http://www.google.com/finance?q=BDX","Becton Dickinson and Company","0.158720"
"ALL","http://www.google.com/finance?q=ALL","Allstate Corporation","0.158412"
"PCP","http://www.google.com/finance?q=PCP","Precision Castparts Corp.","0.156743"
"MYL","http://www.google.com/finance?q=MYL","Mylan N.V.","0.156320"
"APD","http://www.google.com/finance?q=APD","Air Products and Chemicals Inc.","0.155237"
"MHFI","http://www.google.com/finance?q=MHFI","McGraw Hill Financial Inc.","0.154174"
"GLW","http://www.google.com/finance?q=GLW","Corning Incorporated","0.154082"
"LUV","http://www.google.com/finance?q=LUV","Southwest Airlines Co.","0.153557"
"EXC","http://www.google.com/finance?q=EXC","Exelon Corporation","0.152673"
"CCI","http://www.google.com/finance?q=CCI","Crown Castle International Corp","0.151258"
"CBS","http://www.google.com/finance?q=CBS","CBS Corporation Class B","0.151188"
"SYK","http://www.google.com/finance?q=SYK","Stryker Corporation","0.150897"
"CME","http://www.google.com/finance?q=CME","CME Group Inc. Class A","0.150832"
"INTU","http://www.google.com/finance?q=INTU","Intuit Inc.","0.150580"
"MPC","http://www.google.com/finance?q=MPC","Marathon Petroleum Corporation","0.150534"
"AFL","http://www.google.com/finance?q=AFL","Aflac Incorporated","0.150502"
"AEP","http://www.google.com/finance?q=AEP","American Electric Power Company Inc.","0.150071"
"TEL","http://www.google.com/finance?q=TEL","TE Connectivity Ltd.","0.149603"
"EQR","http://www.google.com/finance?q=EQR","Equity Residential","0.149367"
"PSA","http://www.google.com/finance?q=PSA","Public Storage","0.148897"
"AON","http://www.google.com/finance?q=AON","Aon plc","0.146942"
"HUM","http://www.google.com/finance?q=HUM","Humana Inc.","0.144365"
"BBT","http://www.google.com/finance?q=BBT","BB&T Corporation","0.143926"
"HCN","http://www.google.com/finance?q=HCN","Health Care REIT Inc.","0.141642"
"PRGO","http://www.google.com/finance?q=PRGO","Perrigo Co. Plc","0.141089"
"DFS","http://www.google.com/finance?q=DFS","Discover Financial Services","0.140458"
"VIAB","http://www.google.com/finance?q=VIAB","Viacom Inc. Class B","0.138785"
"DVN","http://www.google.com/finance?q=DVN","Devon Energy Corporation","0.136319"
"PXD","http://www.google.com/finance?q=PXD","Pioneer Natural Resources Company","0.135841"
"LO","http://www.google.com/finance?q=LO","Lorillard Inc.","0.135554"
"VFC","http://www.google.com/finance?q=VFC","V.F. Corporation","0.134840"
"SE","http://www.google.com/finance?q=SE","Spectra Energy Corp","0.134764"
"APA","http://www.google.com/finance?q=APA","Apache Corporation","0.134399"
"ICE","http://www.google.com/finance?q=ICE","Intercontinental Exchange Inc.","0.134255"
"SRE","http://www.google.com/finance?q=SRE","Sempra Energy","0.133612"
"PCG","http://www.google.com/finance?q=PCG","PG&E Corporation","0.131602"
"AMAT","http://www.google.com/finance?q=AMAT","Applied Materials Inc.","0.131348"
"BRCM","http://www.google.com/finance?q=BRCM","Broadcom Corporation Class A","0.129869"
"DLPH","http://www.google.com/finance?q=DLPH","Delphi Automotive PLC","0.128561"
"VTR","http://www.google.com/finance?q=VTR","Ventas Inc.","0.128019"
"ABC","http://www.google.com/finance?q=ABC","AmerisourceBergen Corporation","0.127007"
"CMI","http://www.google.com/finance?q=CMI","Cummins Inc.","0.126972"
"BSX","http://www.google.com/finance?q=BSX","Boston Scientific Corporation","0.126887"
"PCAR","http://www.google.com/finance?q=PCAR","PACCAR Inc","0.125749"
"ZTS","http://www.google.com/finance?q=ZTS","Zoetis Inc. Class A","0.125602"
"AMP","http://www.google.com/finance?q=AMP","Ameriprise Financial Inc.","0.125194"
"RAI","http://www.google.com/finance?q=RAI","Reynolds American Inc.","0.124083"
"SHW","http://www.google.com/finance?q=SHW","Sherwin-Williams Company","0.123764"
"DG","http://www.google.com/finance?q=DG","Dollar General Corporation","0.123118"
"CB","http://www.google.com/finance?q=CB","Chubb Corporation","0.122653"
"ORLY","http://www.google.com/finance?q=ORLY","O'Reilly Automotive Inc.","0.122480"
"M","http://www.google.com/finance?q=M","Macy's Inc","0.122269"
"AVB","http://www.google.com/finance?q=AVB","AvalonBay Communities Inc.","0.121252"
"IP","http://www.google.com/finance?q=IP","International Paper Company","0.120760"
"HCA","http://www.google.com/finance?q=HCA","HCA Holdings Inc.","0.120430"
"PPL","http://www.google.com/finance?q=PPL","PPL Corporation","0.120311"
"FCX","http://www.google.com/finance?q=FCX","Freeport-McMoRan Inc.","0.120267"
"NOV","http://www.google.com/finance?q=NOV","National Oilwell Varco Inc.","0.120102"
"WM","http://www.google.com/finance?q=WM","Waste Management Inc.","0.119083"
"AZO","http://www.google.com/finance?q=AZO","AutoZone Inc.","0.118660"
"SYY","http://www.google.com/finance?q=SYY","Sysco Corporation","0.118646"
"CERN","http://www.google.com/finance?q=CERN","Cerner Corporation","0.118142"
"LB","http://www.google.com/finance?q=LB","L Brands Inc.","0.118095"
"PLD","http://www.google.com/finance?q=PLD","Prologis Inc.","0.116344"
"WDC","http://www.google.com/finance?q=WDC","Western Digital Corporation","0.116204"
"TROW","http://www.google.com/finance?q=TROW","T. Rowe Price Group","0.114883"
"ROST","http://www.google.com/finance?q=ROST","Ross Stores Inc.","0.114825"
"STI","http://www.google.com/finance?q=STI","SunTrust Banks Inc.","0.113274"
"PEG","http://www.google.com/finance?q=PEG","Public Service Enterprise Group Incorporated","0.112568"
"MNST","http://www.google.com/finance?q=MNST","Monster Beverage Corporation","0.112318"
"BXP","http://www.google.com/finance?q=BXP","Boston Properties Inc.","0.111986"
"STJ","http://www.google.com/finance?q=STJ","St. Jude Medical Inc.","0.110678"
"CTL","http://www.google.com/finance?q=CTL","CenturyLink Inc.","0.110162"
"CCL","http://www.google.com/finance?q=CCL","Carnival Corporation","0.109931"
"BEN","http://www.google.com/finance?q=BEN","Franklin Resources Inc.","0.109176"
"MRO","http://www.google.com/finance?q=MRO","Marathon Oil Corporation","0.109066"
"CMG","http://www.google.com/finance?q=CMG","Chipotle Mexican Grill Inc.","0.106742"
"EIX","http://www.google.com/finance?q=EIX","Edison International","0.106349"
"ZMH","http://www.google.com/finance?q=ZMH","Zimmer Holdings Inc.","0.106039"
"MJN","http://www.google.com/finance?q=MJN","Mead Johnson Nutrition Company","0.104221"
"ADI","http://www.google.com/finance?q=ADI","Analog Devices Inc.","0.104129"
"ADS","http://www.google.com/finance?q=ADS","Alliance Data Systems Corporation","0.103896"
"STZ","http://www.google.com/finance?q=STZ","Constellation Brands Inc. Class A","0.103661"
"HCP","http://www.google.com/finance?q=HCP","HCP Inc.","0.103486"
"NBL","http://www.google.com/finance?q=NBL","Noble Energy Inc.","0.103032"
"OMC","http://www.google.com/finance?q=OMC","Omnicom Group Inc","0.102564"
"MCO","http://www.google.com/finance?q=MCO","Moody's Corporation","0.102236"
"FISV","http://www.google.com/finance?q=FISV","Fiserv Inc.","0.101086"
"STX","http://www.google.com/finance?q=STX","Seagate Technology PLC","0.100983"
"VNO","http://www.google.com/finance?q=VNO","Vornado Realty Trust","0.100002"
"EL","http://www.google.com/finance?q=EL","Estee Lauder Companies Inc. Class A","0.099987"
"EA","http://www.google.com/finance?q=EA","Electronic Arts Inc.","0.099616"
"IR","http://www.google.com/finance?q=IR","Ingersoll-Rand Plc","0.098035"
"HES","http://www.google.com/finance?q=HES","Hess Corporation","0.097892"
"FIS","http://www.google.com/finance?q=FIS","Fidelity National Information Services Inc.","0.097259"
